,AGE,GENDER,NATIONALITY,AFFECTED_ASPECT,STRATEGY
206,56,f,tanzanian,mental health emotional wellbeing,mental health support service
207,46,f,tanzanian,research experiment,research experiment standardization
208,55,m,tanzanian,recruitment,strategic recruitment
209,25,m,tanzanian,workforce planning analysis,workforce planning
210,51,m,tanzanian,workforce planning analysis,workforce planning
211,53,f,tanzanian,recruitment,strategic recruitment
212,45,m,tanzanian,research experiment,research experiment standardization
213,53,m,tanzanian,workforce planning analysis,workforce planning
214,49,f,tanzanian,learning environment,blended learning
215,41,f,kenyan,student accommodation,accommodation optimization
216,41,m,tanzanian,governance structure,transparent governance framework
217,27,f,tanzanian,student enrollment,enrollment initiative
218,25,f,tanzanian,organizational culture change management,inclusive organizational culture
219,38,f,tanzanian,cyber crime,security measure
220,33,f,tanzanian,legal regulatory compliance,compliance management framework
221,58,f,kenyan,administrative function,workflow analysis
222,42,f,tanzanian,running cost,financial auditing
223,48,f,kenyan,student enrollment,enrollment initiative
224,48,f,kenyan,running cost,financial auditing
225,56,f,kenyan,quality assurance,continuous improvement assessment
226,24,m,tanzanian,student enrollment,enrollment initiative
227,49,m,kenyan,debt,cash flow analysis
228,54,m,kenyan,cyber crime,security measure
229,38,m,tanzanian,employee development training,professional development plan
230,59,f,tanzanian,running cost,financial auditing
231,34,m,tanzanian,mental health emotional wellbeing,mental health support service
232,48,m,tanzanian,technology infrastructure,technology integration
233,59,f,kenyan,learning environment,blended learning
234,47,m,kenyan,legal regulatory compliance,compliance management framework
235,42,m,tanzanian,facility safety,safety measure
236,49,m,tanzanian,debt,cash flow analysis
237,25,f,tanzanian,workforce planning analysis,workforce planning
238,28,f,tanzanian,administrative function,workflow analysis
239,50,m,kenyan,physical health safety,comprehensive health safety measure
240,33,m,kenyan,student accommodation,accommodation optimization
241,24,f,tanzanian,mission vision value,missiondriven policy alignment
242,33,f,tanzanian,organizational culture change management,inclusive organizational culture
243,49,m,kenyan,technology infrastructure,technology integration
244,44,m,tanzanian,access resource,digitization
245,39,f,tanzanian,mental health emotional wellbeing,mental health support service
246,58,m,kenyan,governance structure,transparent governance framework
247,44,m,kenyan,organizational culture change management,inclusive organizational culture
248,43,f,tanzanian,administrative function,workflow analysis
249,47,f,tanzanian,educational program curriculum,program curriculum review update
250,44,f,tanzanian,learning environment,blended learning
251,53,f,kenyan,budget allocation,budget optimization
252,45,f,tanzanian,quality assurance,continuous improvement assessment
253,32,f,kenyan,mission vision value,missiondriven policy alignment
254,41,m,tanzanian,physical health safety,comprehensive health safety measure
255,27,f,tanzanian,student accommodation,accommodation optimization
256,59,f,tanzanian,cyber crime,security measure
257,47,f,kenyan,student enrollment,enrollment initiative
258,25,m,tanzanian,research experiment,research experiment standardization
259,46,m,kenyan,facility safety,safety measure
260,51,m,tanzanian,quality assurance,continuous improvement assessment
261,33,f,tanzanian,running cost,financial auditing
262,30,m,kenyan,quality assurance,continuous improvement assessment
263,52,m,kenyan,budget allocation,budget optimization
264,42,f,tanzanian,running cost,financial auditing
265,26,m,tanzanian,budget allocation,budget optimization
266,40,m,kenyan,organizational culture change management,inclusive organizational culture
267,30,m,tanzanian,facility safety,safety measure
268,54,f,tanzanian,administrative function,workflow analysis
269,37,f,tanzanian,student enrollment,enrollment initiative
270,30,m,tanzanian,mission vision value,missiondriven policy alignment
271,27,m,kenyan,debt,cash flow analysis
272,46,f,tanzanian,mental health emotional wellbeing,mental health support service
273,48,f,tanzanian,budget allocation,budget optimization
274,34,f,tanzanian,research experiment,research experiment standardization
275,34,f,tanzanian,research experiment,research experiment standardization
276,33,m,kenyan,social connection community engagement,community engagement initiative
277,33,m,tanzanian,learning environment,blended learning
278,41,f,kenyan,student enrollment,enrollment initiative
279,33,m,tanzanian,quality assurance,continuous improvement assessment
280,58,f,tanzanian,administrative function,workflow analysis
281,36,f,kenyan,budget allocation,budget optimization
282,49,f,kenyan,research experiment,research experiment standardization
283,36,f,kenyan,debt,cash flow analysis
284,26,m,kenyan,administrative function,workflow analysis
285,50,m,kenyan,employee development training,professional development plan
286,41,f,tanzanian,student accommodation,accommodation optimization
287,59,f,tanzanian,running cost,financial auditing
288,37,m,tanzanian,administrative function,workflow analysis
289,52,f,tanzanian,recruitment,strategic recruitment
290,52,m,kenyan,employee development training,professional development plan
291,56,m,kenyan,workforce planning analysis,workforce planning
292,45,m,tanzanian,facility safety,safety measure
293,33,m,tanzanian,educational program curriculum,program curriculum review update
294,57,m,kenyan,social connection community engagement,community engagement initiative
295,56,m,tanzanian,debt,cash flow analysis
296,27,m,tanzanian,legal regulatory compliance,compliance management framework
297,45,m,tanzanian,research experiment,research experiment standardization
298,53,f,kenyan,tuition fee setting,financial planning
299,56,f,tanzanian,technology infrastructure,technology integration
300,58,m,tanzanian,student enrollment,enrollment initiative
301,47,m,kenyan,legal regulatory compliance,compliance management framework
302,31,m,kenyan,quality assurance,continuous improvement assessment
303,47,m,kenyan,legal regulatory compliance,compliance management framework
304,42,m,tanzanian,educational program curriculum,program curriculum review update
305,54,f,tanzanian,educational program curriculum,program curriculum review update
306,57,m,tanzanian,cyber crime,security measure
307,55,f,kenyan,physical health safety,comprehensive health safety measure
308,39,f,tanzanian,administrative function,workflow analysis
309,58,f,tanzanian,physical health safety,comprehensive health safety measure
310,46,m,kenyan,student accommodation,accommodation optimization
311,25,f,kenyan,workforce planning analysis,workforce planning
312,28,f,kenyan,access resource,digitization
313,36,m,tanzanian,learning environment,blended learning
314,33,f,tanzanian,recruitment,strategic recruitment
315,25,f,tanzanian,learning environment,blended learning
316,44,m,kenyan,mission vision value,missiondriven policy alignment
317,44,m,kenyan,quality assurance,continuous improvement assessment
318,27,f,tanzanian,access resource,digitization
319,30,f,kenyan,legal regulatory compliance,compliance management framework
320,30,m,tanzanian,cyber crime,security measure
321,39,m,tanzanian,administrative function,workflow analysis
322,24,m,kenyan,quality assurance,continuous improvement assessment
323,56,f,tanzanian,debt,cash flow analysis
324,47,m,kenyan,student enrollment,enrollment initiative
325,33,m,tanzanian,access resource,digitization
326,29,f,tanzanian,recruitment,strategic recruitment
327,54,m,tanzanian,physical health safety,comprehensive health safety measure
328,40,f,kenyan,employee development training,professional development plan
329,24,f,tanzanian,tuition fee setting,financial planning
330,31,m,kenyan,legal regulatory compliance,compliance management framework
331,54,m,tanzanian,educational program curriculum,program curriculum review update
332,45,m,kenyan,research experiment,research experiment standardization
333,25,f,kenyan,legal regulatory compliance,compliance management framework
334,33,m,tanzanian,quality assurance,continuous improvement assessment
335,34,f,tanzanian,research experiment,research experiment standardization
336,53,m,tanzanian,running cost,financial auditing
337,24,f,tanzanian,cyber crime,security measure
338,30,m,kenyan,governance structure,transparent governance framework
339,56,m,kenyan,governance structure,transparent governance framework
340,57,m,tanzanian,tuition fee setting,financial planning
341,25,m,tanzanian,physical health safety,comprehensive health safety measure
342,41,m,tanzanian,facility safety,safety measure
343,26,f,tanzanian,recruitment,strategic recruitment
344,25,f,kenyan,budget allocation,budget optimization
345,43,f,tanzanian,student accommodation,accommodation optimization
346,42,m,kenyan,organizational culture change management,inclusive organizational culture
347,52,m,tanzanian,tuition fee setting,financial planning
348,59,m,kenyan,workforce planning analysis,workforce planning
349,44,f,kenyan,physical health safety,comprehensive health safety measure
350,59,m,tanzanian,debt,cash flow analysis
351,59,f,tanzanian,physical health safety,comprehensive health safety measure
352,26,f,tanzanian,budget allocation,budget optimization
353,54,f,kenyan,running cost,financial auditing
354,38,f,kenyan,quality assurance,continuous improvement assessment
355,32,m,kenyan,running cost,financial auditing
356,57,m,tanzanian,debt,cash flow analysis
357,55,f,kenyan,research experiment,research experiment standardization
358,53,f,tanzanian,debt,cash flow analysis
359,25,f,tanzanian,student accommodation,accommodation optimization
360,25,f,tanzanian,legal regulatory compliance,compliance management framework
361,54,f,tanzanian,learning environment,blended learning
362,55,f,tanzanian,budget allocation,budget optimization
363,44,m,kenyan,debt,cash flow analysis
364,44,f,tanzanian,research experiment,research experiment standardization
365,46,m,tanzanian,legal regulatory compliance,compliance management framework
366,34,m,tanzanian,governance structure,transparent governance framework
367,35,f,tanzanian,governance structure,transparent governance framework
368,37,m,kenyan,employee development training,professional development plan
369,37,f,tanzanian,mental health emotional wellbeing,mental health support service
370,27,m,kenyan,mission vision value,missiondriven policy alignment
371,47,f,tanzanian,mental health emotional wellbeing,mental health support service
372,38,f,tanzanian,student accommodation,accommodation optimization
373,42,m,kenyan,administrative function,workflow analysis
374,37,m,tanzanian,learning environment,blended learning
375,43,m,tanzanian,technology infrastructure,technology integration
376,57,m,tanzanian,legal regulatory compliance,compliance management framework
377,54,f,tanzanian,learning environment,blended learning
378,40,f,tanzanian,physical health safety,comprehensive health safety measure
379,56,f,kenyan,legal regulatory compliance,compliance management framework
380,27,m,kenyan,student enrollment,enrollment initiative
381,27,f,kenyan,mission vision value,missiondriven policy alignment
382,56,m,tanzanian,mental health emotional wellbeing,mental health support service
383,55,m,tanzanian,budget allocation,budget optimization
384,30,m,kenyan,organizational culture change management,inclusive organizational culture
385,25,f,kenyan,technology infrastructure,technology integration
386,45,m,kenyan,educational program curriculum,program curriculum review update
387,31,m,kenyan,employee development training,professional development plan
388,31,f,tanzanian,organizational culture change management,inclusive organizational culture
389,34,f,kenyan,budget allocation,budget optimization
390,41,f,tanzanian,administrative function,workflow analysis
391,55,m,tanzanian,access resource,digitization
392,49,f,tanzanian,governance structure,transparent governance framework
393,38,f,kenyan,facility safety,safety measure
394,49,m,kenyan,student accommodation,accommodation optimization
395,27,f,kenyan,administrative function,workflow analysis
396,35,m,tanzanian,governance structure,transparent governance framework
397,44,m,tanzanian,educational program curriculum,program curriculum review update
398,37,m,kenyan,mission vision value,missiondriven policy alignment
399,32,f,tanzanian,organizational culture change management,inclusive organizational culture
400,34,f,tanzanian,educational program curriculum,program curriculum review update
401,35,f,kenyan,running cost,financial auditing
402,45,f,tanzanian,learning environment,blended learning
403,41,m,kenyan,governance structure,transparent governance framework
404,49,f,tanzanian,cyber crime,security measure
405,40,f,tanzanian,tuition fee setting,financial planning
406,47,f,tanzanian,administrative function,workflow analysis
407,39,m,tanzanian,student accommodation,accommodation optimization
408,27,m,tanzanian,facility safety,safety measure
409,44,m,tanzanian,cyber crime,security measure
410,54,m,kenyan,organizational culture change management,inclusive organizational culture
411,41,f,tanzanian,budget allocation,budget optimization
412,30,f,tanzanian,mission vision value,missiondriven policy alignment
413,33,f,tanzanian,social connection community engagement,community engagement initiative
414,51,m,kenyan,debt,cash flow analysis
415,55,m,kenyan,educational program curriculum,program curriculum review update
416,52,f,tanzanian,running cost,financial auditing
417,49,f,tanzanian,budget allocation,budget optimization
418,30,f,kenyan,workforce planning analysis,workforce planning
419,40,m,kenyan,student accommodation,accommodation optimization
420,56,m,kenyan,student enrollment,enrollment initiative
421,47,m,kenyan,research experiment,research experiment standardization
422,36,f,kenyan,educational program curriculum,program curriculum review update
423,36,f,tanzanian,research experiment,research experiment standardization
424,52,f,tanzanian,student accommodation,accommodation optimization
425,51,m,tanzanian,administrative function,workflow analysis
426,55,m,tanzanian,organizational culture change management,inclusive organizational culture
427,53,f,tanzanian,access resource,digitization
428,24,f,tanzanian,debt,cash flow analysis
429,54,m,tanzanian,organizational culture change management,inclusive organizational culture
430,31,m,tanzanian,legal regulatory compliance,compliance management framework
431,53,m,tanzanian,facility safety,safety measure
432,42,m,kenyan,access resource,digitization
433,42,f,tanzanian,research experiment,research experiment standardization
434,32,m,tanzanian,legal regulatory compliance,compliance management framework
435,46,m,tanzanian,governance structure,transparent governance framework
436,50,f,kenyan,organizational culture change management,inclusive organizational culture
437,24,m,kenyan,physical health safety,comprehensive health safety measure
438,40,m,tanzanian,governance structure,transparent governance framework
439,26,m,tanzanian,student accommodation,accommodation optimization
440,57,m,tanzanian,mission vision value,missiondriven policy alignment
441,40,m,tanzanian,access resource,digitization
442,39,f,tanzanian,workforce planning analysis,workforce planning
443,52,m,tanzanian,mission vision value,missiondriven policy alignment
444,43,m,tanzanian,educational program curriculum,program curriculum review update
445,27,f,tanzanian,student accommodation,accommodation optimization
446,25,m,tanzanian,mental health emotional wellbeing,mental health support service
447,40,m,kenyan,quality assurance,continuous improvement assessment
448,48,m,kenyan,mission vision value,missiondriven policy alignment
449,51,m,tanzanian,organizational culture change management,inclusive organizational culture
450,53,f,kenyan,debt,cash flow analysis
451,35,f,tanzanian,running cost,financial auditing
452,36,m,tanzanian,cyber crime,security measure
453,32,m,tanzanian,student accommodation,accommodation optimization
454,32,m,kenyan,access resource,digitization
455,55,m,tanzanian,mission vision value,missiondriven policy alignment
456,50,f,kenyan,mission vision value,missiondriven policy alignment
457,48,m,tanzanian,access resource,digitization
458,28,m,tanzanian,research experiment,research experiment standardization
459,43,m,tanzanian,research experiment,research experiment standardization
460,34,m,tanzanian,mission vision value,missiondriven policy alignment
461,41,m,kenyan,administrative function,workflow analysis
462,49,f,kenyan,social connection community engagement,community engagement initiative
463,41,m,tanzanian,student accommodation,accommodation optimization
464,25,m,kenyan,tuition fee setting,financial planning
465,36,f,kenyan,budget allocation,budget optimization
466,54,f,tanzanian,running cost,financial auditing
467,40,f,tanzanian,legal regulatory compliance,compliance management framework
468,25,m,tanzanian,organizational culture change management,inclusive organizational culture
469,42,f,tanzanian,quality assurance,continuous improvement assessment
470,49,m,tanzanian,learning environment,blended learning
471,37,m,tanzanian,running cost,financial auditing
472,39,m,tanzanian,running cost,financial auditing
473,57,m,kenyan,research experiment,research experiment standardization
474,54,m,tanzanian,technology infrastructure,technology integration
475,31,m,kenyan,technology infrastructure,technology integration
476,30,m,kenyan,workforce planning analysis,workforce planning
477,31,f,tanzanian,student enrollment,enrollment initiative
478,50,f,kenyan,technology infrastructure,technology integration
479,42,m,kenyan,facility safety,safety measure
480,38,f,kenyan,educational program curriculum,program curriculum review update
481,31,f,tanzanian,employee development training,professional development plan
482,55,m,kenyan,access resource,digitization
483,24,f,tanzanian,governance structure,transparent governance framework
484,30,f,tanzanian,tuition fee setting,financial planning
485,58,f,tanzanian,social connection community engagement,community engagement initiative
486,41,m,tanzanian,administrative function,workflow analysis
487,28,f,kenyan,student accommodation,accommodation optimization
488,43,m,kenyan,educational program curriculum,program curriculum review update
489,27,f,tanzanian,social connection community engagement,community engagement initiative
490,58,m,tanzanian,research experiment,research experiment standardization
491,28,m,tanzanian,organizational culture change management,inclusive organizational culture
492,30,m,kenyan,workforce planning analysis,workforce planning
493,43,m,kenyan,cyber crime,security measure
494,45,m,tanzanian,mental health emotional wellbeing,mental health support service
495,34,m,tanzanian,employee development training,professional development plan
496,57,m,tanzanian,governance structure,transparent governance framework
497,31,m,tanzanian,governance structure,transparent governance framework
498,42,f,tanzanian,learning environment,blended learning
499,50,f,kenyan,facility safety,safety measure
500,33,m,tanzanian,running cost,financial auditing
501,29,m,tanzanian,mental health emotional wellbeing,mental health support service
502,31,m,tanzanian,mental health emotional wellbeing,mental health support service
503,47,m,tanzanian,mental health emotional wellbeing,mental health support service
504,32,f,tanzanian,learning environment,blended learning
505,35,m,tanzanian,quality assurance,continuous improvement assessment
506,30,m,tanzanian,mission vision value,missiondriven policy alignment
507,44,f,kenyan,mental health emotional wellbeing,mental health support service
508,52,m,tanzanian,recruitment,strategic recruitment
509,24,m,tanzanian,workforce planning analysis,workforce planning
510,39,m,tanzanian,tuition fee setting,financial planning
511,58,m,tanzanian,mission vision value,missiondriven policy alignment
512,41,f,kenyan,tuition fee setting,financial planning
513,29,f,tanzanian,student enrollment,enrollment initiative
514,57,m,tanzanian,student accommodation,accommodation optimization
515,40,m,tanzanian,workforce planning analysis,workforce planning
516,45,f,kenyan,educational program curriculum,program curriculum review update
517,54,m,tanzanian,facility safety,safety measure
518,55,m,kenyan,budget allocation,budget optimization
519,57,f,kenyan,recruitment,strategic recruitment
520,47,m,kenyan,running cost,financial auditing
521,42,m,tanzanian,access resource,digitization
522,50,m,tanzanian,research experiment,research experiment standardization
523,52,f,tanzanian,facility safety,safety measure
524,53,f,tanzanian,workforce planning analysis,workforce planning
525,27,m,kenyan,access resource,digitization
526,35,f,kenyan,student accommodation,accommodation optimization
527,46,m,tanzanian,quality assurance,continuous improvement assessment
528,40,m,tanzanian,administrative function,workflow analysis
529,33,f,tanzanian,social connection community engagement,community engagement initiative
530,47,f,tanzanian,quality assurance,continuous improvement assessment
531,51,f,tanzanian,administrative function,workflow analysis
532,55,m,tanzanian,student accommodation,accommodation optimization
533,53,m,kenyan,organizational culture change management,inclusive organizational culture
534,34,m,tanzanian,student enrollment,enrollment initiative
535,58,f,tanzanian,governance structure,transparent governance framework
536,49,f,tanzanian,physical health safety,comprehensive health safety measure
537,46,m,tanzanian,educational program curriculum,program curriculum review update
538,52,f,tanzanian,running cost,financial auditing
539,27,m,tanzanian,facility safety,safety measure
540,25,f,kenyan,learning environment,blended learning
541,39,m,tanzanian,mission vision value,missiondriven policy alignment
542,44,f,kenyan,cyber crime,security measure
543,45,m,tanzanian,mission vision value,missiondriven policy alignment
544,45,m,kenyan,technology infrastructure,technology integration
545,46,m,kenyan,recruitment,strategic recruitment
546,51,m,kenyan,facility safety,safety measure
547,31,m,kenyan,learning environment,blended learning
548,58,f,tanzanian,access resource,digitization
549,37,m,tanzanian,mission vision value,missiondriven policy alignment
550,28,m,tanzanian,debt,cash flow analysis
551,39,f,tanzanian,mental health emotional wellbeing,mental health support service
